id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
1958,21eme Tournoi de doubles du BCPT,1431,20.10.2018,tournoi-badminton/21eme-tournoi-de-doubles-du-bcpt-9389.html,47.5964,0.917778,12,17,
1959,26è BAD TRIP VENISSIAN,1188,20.10.2018,tournoi-badminton/26e-bad-trip-venissian-9375.html,45.6962,4.88142,18,21,
1960,Les Rioz'Tomnales,387,20.10.2018,tournoi-badminton/les-rioz-tomnales-9432.html,47.345,6.0192,13,19,
1961,TRJ ORLEANS,1028,20.10.2018,tournoi-badminton/trj-orleans-9776.html,47.907,1.91997,10,,
1962,Circuit vétéran ORLEANS,1028,20.10.2018,tournoi-badminton/circuit-veteran-orleans-9775.html,47.907,1.91997,10,12,
1963,Tournoi National Le Cellier Ligné,657,20.10.2018,tournoi-badminton/tournoi-national-le-cellier-ligne-9526.html,47.4047,-1.37513,15,20,
1964,Tournoi des jupettes Edition 2018,1914,20.10.2018,tournoi-badminton/tournoi-des-jupettes-edition-2018-9359.html,48.909,2.0316,15,21,
1965,14ème tournoi National de Parigné,1692,20.10.2018,tournoi-badminton/14eme-tournoi-national-de-parigne-9616.html,47.9374,0.367055,13,17,
1966,TRJ n°2,1803,20.10.2018,tournoi-badminton/trj-n-2-9734.html,47.3043,-1.50113,6,8,
1967,SOBAD is so GOOD,262,20.10.2018,tournoi-badminton/sobad-is-so-good-9617.html,43.5601,1.53055,,,
1968,27 eme tournoi du Forez (42),506,20.10.2018,tournoi-badminton/27-eme-tournoi-du-forez-42-9264.html,45.609,4.05696,18,20,
1969,Saint Be Double 2,331,20.10.2018,tournoi-badminton/saint-be-double-2-9440.html,46.4409,1.38962,12,18,
1970,Timbrés du volant 2018,1886,20.10.2018,tournoi-badminton/timbres-du-volant-2018-9518.html,48.5858,7.71285,16,22,
1971,2e tournoi chatillonnais (BCCL45),1609,20.10.2018,tournoi-badminton/2e-tournoi-chatillonnais-bccl45-9498.html,47.5915,2.74487,14,18,
1972,2eme Bi BAD du BG,1304,20.10.2018,tournoi-badminton/2eme-bi-bad-du-bg-9467.html,48.6947,5.95904,15,20,
1973,Bad'à'Pont #2,427,20.10.2018,tournoi-badminton/bad-a-pont-2-9572.html,46.9225,6.33812,14,19,
1974,Magenta voit double 3,510,20.10.2018,tournoi-badminton/magenta-voit-double-3-9591.html,49.0525,3.96949,17,20,
1975,Tournoi jeunes et vétérans de l'US Talence,95,20.10.2018,tournoi-badminton/tournoi-jeunes-et-veterans-de-l-us-talence-9351.html,44.7994,-0.598001,15,20,
1976,14 ème Tournoi Régional Trévoltien,1369,20.10.2018,tournoi-badminton/14-eme-tournoi-regional-trevoltien-9522.html,45.9471,4.76666,16,20,
1977,Tournoi Jeunes et Vétérans de Brive,1728,20.10.2018,tournoi-badminton/tournoi-jeunes-et-veterans-de-brive-9350.html,45.1514,1.50984,10,14,18
1978,tournoi de la mer - simple,1231,20.10.2018,tournoi-badminton/tournoi-de-la-mer-simple-9519.html,45.9526,-0.971599,13,17,
1979,8e Tournoi de Simple,1615,20.10.2018,tournoi-badminton/8e-tournoi-de-simple-9520.html,45.594,5.91841,18,,
1980,4ème Tournoi du Grand Pic Saint-Loup,1961,20.10.2018,tournoi-badminton/4eme-tournoi-du-grand-pic-saint-loup-9340.html,43.7635,3.85978,13,17,
1981,Tournoi Régional du BCBB 2018,1640,20.10.2018,tournoi-badminton/tournoi-regional-du-bcbb-2018-9538.html,47.8427,-1.68207,12,17,
1982,Plateau Minibad-Poussin,1055,20.10.2018,tournoi-badminton/plateau-minibad-poussin-9613.html,45.5562,0.131728,0,,
1983,Premier Tournoi de double Loriolais,395,21.10.2018,tournoi-badminton/premier-tournoi-de-double-loriolais-9316.html,44.7531,4.8204,15,,
1984,4ème tournoi veteran,2009,21.10.2018,tournoi-badminton/4eme-tournoi-veteran-9688.html,45.7701,1.33087,12,17,
1985,Tournoi de doubles,169,21.10.2018,tournoi-badminton/tournoi-de-doubles-9583.html,46.5633,0.629496,13,18,
1986,tournoi de la mer - jeunes et vétérans,1231,21.10.2018,tournoi-badminton/tournoi-de-la-mer-jeunes-et-veterans-9521.html,45.9526,-0.971599,13,17,
1987,2e tournoi de la Baie de Paimpol,1448,21.10.2018,tournoi-badminton/2e-tournoi-de-la-baie-de-paimpol-9638.html,48.7645,-3.04243,,,
1988,Tournoi Jeunes de Guéret,1555,21.10.2018,tournoi-badminton/tournoi-jeunes-de-gueret-9599.html,46.166,1.86648,10,,
1989,6ème tournoi double d'Ambazac Badminton,2188,21.10.2018,tournoi-badminton/6eme-tournoi-double-d-ambazac-badminton-9733.html,45.9523,1.39238,12,,
1990,Stage adulte Charente octobre 2018,1055,21.10.2018,tournoi-badminton/stage-adulte-charente-octobre-2018-9627.html,45.6774,0.270324,9,,
1991,PROMOBAD USB,176,22.10.2018,tournoi-badminton/promobad-usb-9758.html,44.8472,-0.59093,4,,
1992,Stage perf BCPF Toussaint,1437,22.10.2018,tournoi-badminton/stage-perf-bcpf-toussaint-9574.html,48.3558,-1.19564,,,
1993,Stage jeune - perfectionnement,1646,23.10.2018,tournoi-badminton/stage-jeune-perfectionnement-9786.html,44.822,-0.550713,15,,
1994,Stage jeunes HALLOWEEN BAD 2018,95,24.10.2018,tournoi-badminton/stage-jeunes-halloween-bad-2018-9801.html,44.8181,-0.594347,40,,
1995,11ème badtour Saint Gaudinois,1214,26.10.2018,tournoi-badminton/11eme-badtour-saint-gaudinois-9439.html,43.1055,0.730302,15,18,22
1996,XXV VOLANTS EN TOUT SENS,259,27.10.2018,tournoi-badminton/xxv-volants-en-tout-sens-9343.html,48.191,3.29887,14,19,
1997,3ème Not So Bad Tour,261,27.10.2018,tournoi-badminton/3eme-not-so-bad-tour-9265.html,45.4879,4.43704,17,20,
1998,8ème tournoi des Beurdins,1148,27.10.2018,tournoi-badminton/8eme-tournoi-des-beurdins-9594.html,46.6264,3.76205,13,17,
1999,PL44 - 24e Tournoi Sénior de Basse Goulaine,2078,27.10.2018,tournoi-badminton/pl44-24e-tournoi-senior-de-basse-goulaine-9489.html,47.2153,-1.46609,14,19,
2000,21ème tournoi de Questembert,1197,27.10.2018,tournoi-badminton/21eme-tournoi-de-questembert-9675.html,47.6629,-2.46193,11,17,
2001,Tournoi d'Halloween 2018,2142,27.10.2018,tournoi-badminton/tournoi-d-halloween-2018-9680.html,45.7953,3.16805,12,16,
2002,6 eme tournois des vendanges,1701,27.10.2018,tournoi-badminton/6-eme-tournois-des-vendanges-9451.html,42.6011,2.90481,20,22,
2003,10e Tournoi du Clair de Lune,123,27.10.2018,tournoi-badminton/10e-tournoi-du-clair-de-lune-9636.html,50.2779,3.9834,14,20,
2004,La Mare au Diable,1279,27.10.2018,tournoi-badminton/la-mare-au-diable-9422.html,46.5818,1.97386,12,16,18
2005,2eme tournoi du Petit-Copter,2015,27.10.2018,tournoi-badminton/2eme-tournoi-du-petit-copter-9410.html,43.4117,5.23824,18,21,
2006,Tournoi Jeunes ONEA,444,27.10.2018,tournoi-badminton/tournoi-jeunes-onea-9635.html,47.3931,-0.044155,8,13,
2007,15 ieme tournoi de la ville de mende,1490,27.10.2018,tournoi-badminton/15-ieme-tournoi-de-la-ville-de-mende-9560.html,44.5201,3.50857,15,18,
2008,7ème Tournoi Senior Neuvic-Mussidan,1100,27.10.2018,tournoi-badminton/7eme-tournoi-senior-neuvic-mussidan-9533.html,45.0353,0.37317,14,20,
2009,Tournoi Jeune et Vétéran des t'amis de Martignas,1477,27.10.2018,tournoi-badminton/tournoi-jeune-et-veteran-des-t-amis-de-martignas-9487.html,44.8457,-0.781008,15,20,
2010,Bad'o'gab simples 2,746,27.10.2018,tournoi-badminton/bad-o-gab-simples-2-9364.html,45.186,5.71123,17,,
2011,tournoi senior de Salies de Béarn,33,27.10.2018,tournoi-badminton/tournoi-senior-de-salies-de-bearn-9580.html,43.4758,-0.934511,14,17,20
2012,24EME TOURNOI NATIONAL DES AIGLES,1814,27.10.2018,tournoi-badminton/24eme-tournoi-national-des-aigles-9485.html,48.7595,0.635568,14,19,22
2013,1er challenge de Chantecler,313,27.10.2018,tournoi-badminton/1er-challenge-de-chantecler-9376.html,44.8232,-0.574898,14,17,
2014,3ème open de Racketlon Lyon-Bron,1320,27.10.2018,tournoi-badminton/3eme-open-de-racketlon-lyon-bron-9701.html,45.7388,4.92767,20,30,
2015,Retour Sur la Banquise 16,627,27.10.2018,tournoi-badminton/retour-sur-la-banquise-16-9581.html,48.4012,-4.49213,,,
2016,Stage de perfectionnement Jeunes et adultes,2154,27.10.2018,tournoi-badminton/stage-de-perfectionnement-jeunes-et-adultes-9884.html,43.9436,4.84475,,,
2017,Tournoi simple BADB,1776,28.10.2018,tournoi-badminton/tournoi-simple-badb-9403.html,48.1864,1.39359,14,,
2018,Un Volant pour Sandrine,171,28.10.2018,tournoi-badminton/un-volant-pour-sandrine-9564.html,43.1209,6.07718,14,,
2019,Codep 84 - CDS 1er étape - Isle,992,28.10.2018,tournoi-badminton/codep-84-cds-1er-etape-isle-9477.html,43.9142,5.05711,10,,
2020,Circuit Départemental Adulte étape de GAP,1065,28.10.2018,tournoi-badminton/circuit-departemental-adulte-etape-de-gap-9788.html,44.5405,6.06114,10,,
2021,12e Tournoi J-V de Saint-Junien (87),1862,28.10.2018,tournoi-badminton/12e-tournoi-j-v-de-saint-junien-87-9349.html,45.9325,1.02798,12,16,
2022,PerfBaf Toussaint 2018 5j non stop,1764,29.10.2018,tournoi-badminton/perfbaf-toussaint-2018-5j-non-stop-9355.html,49.2306,3.99895,180,290,
2023,Stage Jeunes à Saint Laurent du Var,1064,29.10.2018,tournoi-badminton/stage-jeunes-a-saint-laurent-du-var-9764.html,43.6672,7.18612,45,,
2024,5h bad/jour + bitburger open !,1265,30.10.2018,tournoi-badminton/5h-bad-jour-bitburger-open-9787.html,49.0409,6.16128,90,,
2025,Toussaint Stage de Perfectionnement Jeune et Adult,525,30.10.2018,tournoi-badminton/toussaint-stage-de-perfectionnement-jeune-et-adult-9768.html,43.3324,5.37437,170,,
2026,Plateau Minibad 1,1048,31.10.2018,tournoi-badminton/plateau-minibad-1-9512.html,45.0353,0.37317,5,,
2027,La Coupe des Gazelles (promobad),364,01.11.2018,tournoi-badminton/la-coupe-des-gazelles-promobad-9686.html,47.5406,2.03811,9,,
2028,Stage jeunes Charente 1er/11/18  9h-17h,1055,01.11.2018,tournoi-badminton/stage-jeunes-charente-1er-11-18-9h-17h-9649.html,46.0286,0.199339,8,,
2029,21ème TOURNOI INTERNATIONAL DU PAYS VIENNOIS,1079,02.11.2018,tournoi-badminton/21eme-tournoi-international-du-pays-viennois-9226.html,45.5099,4.8558,20,23,26
2030,Les Plumes du Lub',888,02.11.2018,tournoi-badminton/les-plumes-du-lub-9642.html,43.6953,5.51118,18,21,24
2031,Stage de progression ENFANTS,1048,02.11.2018,tournoi-badminton/stage-de-progression-enfants-9858.html,45.0353,0.37317,15,,
2032,Stage jeunes pour tous,1064,02.11.2018,tournoi-badminton/stage-jeunes-pour-tous-9765.html,43.6672,7.18612,15,,
2033,9e ALL STARS SERIES BADABONDOUFLE,1804,03.11.2018,tournoi-badminton/9e-all-stars-series-badabondoufle-9362.html,48.6183,2.38914,15,20,
2034,[ANNULE]8e Tournoi Adultes Jeunes du BCHT,1537,03.11.2018,tournoi-badminton/annule-8e-tournoi-adultes-jeunes-du-bcht-9562.html,45.0603,4.84507,17,20,
2035,3ème Tournoi de Doubles de GIF 2018,449,03.11.2018,tournoi-badminton/3eme-tournoi-de-doubles-de-gif-2018-9360.html,48.6868,2.11837,15,20,
2036,EPERNAY 2018 - 23ème cuvée,862,03.11.2018,tournoi-badminton/epernay-2018-23eme-cuvee-9397.html,49.0392,3.96481,14,20,
2037,LES PLUMES SIMIANAISES,326,03.11.2018,tournoi-badminton/les-plumes-simianaises-9416.html,43.4393,5.43867,17,19,
2038,Tournoi d'automne de la Mandallaz simples et mixte,1483,03.11.2018,tournoi-badminton/tournoi-d-automne-de-la-mandallaz-simples-et-mixte-9669.html,45.9484,6.03452,15,20,
2039,2eme Tournoi de Doubles de l'ABBC,2178,03.11.2018,tournoi-badminton/2eme-tournoi-de-doubles-de-l-abbc-9523.html,48.7942,1.49734,13,19,
2040,3ème édition des Plumes Dorées,1781,03.11.2018,tournoi-badminton/3eme-edition-des-plumes-dorees-9452.html,45.8704,4.7096,17,21,
2041,Tournoi Juniors simple de Don Bosco,875,03.11.2018,tournoi-badminton/tournoi-juniors-simple-de-don-bosco-9433.html,47.224,-1.54081,8,,
2042,19ème Tournoi National,167,03.11.2018,tournoi-badminton/19eme-tournoi-national-9386.html,48.9106,2.19406,15,21,
2043,Tournoi véteran Double et Mixte de Don Bosco,875,03.11.2018,tournoi-badminton/tournoi-veteran-double-et-mixte-de-don-bosco-9431.html,47.2468,-1.53566,13,17,
