id,name,short_name,city_name,lat,long,url
88,Union Sport. Ville D'avray,USVA,Ville-d'Avray,,,
89,Union Sportive Villejuif,USV,Villejuif,,,
90,Union Sportive Vernoise Badminton,USV,Vern-sur-Seiche,,,
91,Union Sportive Verton,USV,Verton,,,
92,Us Tinteniac-saint Domineuc,USTSD,Tinténiac,,,
93,Union Sportive Tournebride Hayange,USTH,Hayange,,,
94,U. S. Tyrosse Badminton,USTBAD,Saint-Vincent-de-Tyrosse,,,
95,Union Sportive Talence Badminton,UST,Talence,,,
96,Union Sportive Tropezienne Bad,UST,Saint-Tropez,,,
97,Union Sportive Saint Jacques,USSJ,Saint-Jacques-sur-Darnétal,,,
98,Union Saint Genestoise de Badminton,USSGBAD73,Saint-Genix-sur-Guiers,,,
99,Union Sportve de Saint GILLES - Les Accrobads,USSGBAD,Saint-Gilles,,,
100,Union Sportive St Ciers,USSC.BAD,Saint-Ciers-sur-Gironde,,,
101,Union Sportive Saint Arnoult,USSA,Saint-Arnoult-en-Yvelines,,,
102,Ussa14 Badminton St Andre,USSA,Saint-André-sur-Orne,,,
103,U.S. Ramonville Badminton,USRB,Ramonville-Saint-Agne,,,
104,Union Sportive Le Poinçonnet,USPBA,Le Poinçonnet,,,
105,Union Sportive De Palaiseau,USP,Palaiseau,,,
106,Union Sportive Du Pre En Pail,USP,Pré-en-Pail,,,
107,Union Sportive Petruvienne,USP,Saint-Pierre-sur-Dives,,,
108,Union Sport. Pecq,USP,Le Pecq,,,
109,USOPOC BADMINTON,USOPOC,FLEURY LES AUBRAIS/ORLEANS,,,
110,U. Sportive De L'ouest Lyonnais,USOLB69,Vaugneray,,,
111,Union Sportive Oyonnax Badminton,USO01,Oyonnax,,,
112,Union Sportive Nord Gironde,USNG,Saint-Yzan-de-Soudiac,,,
113,Union Sport. Mun. Villeparisis,USMV,Villeparisis,,,
114,U S M Vire Badminton,USMV,Vire,,,
115,Union Sportive Mpale De Saran,USMS,Saran,,,
116,Union Sportive Municipale de Montargis,USMM,Montargis,,,
