Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Club De Badminton Valenceen;CBV;36;Valençay;39;26.7;18;8;13;;;;4;35;0;17.65;225
Club Badminton Thorigné-Fouillard;CBTF;35;Thorigné-Fouillard;43;26.1;19;8;16;;;7;9;27;0;203.79;0
Club Bad Saint Pierre La Cour;CBSPLC;53;Saint-Pierre-la-Cour;79;23.0;43;14;22;;4;13;25;37;95;1844.04;197
Club Badminton St Michel Tharon;CBSMT;44;Saint-Michel-Chef-Chef;80;32.2;19;19;42;;;;20;60;16;113.14;0
Club Badminton St Maximin;CBSM;83;Saint-Maximin-la-Sainte-Baume;65;40.2;7;16;42;;;;14;51;0;43.75;0
Club Badminton St Jeannais;CBSJ38;38;Saint-Jean-de-Bournay;22;21.6;14;3;5;;;1;8;13;0;87.05;185
Club de Badminton Seine Essonne;CBSE;91;Saint-Germain-lès-Corbeil;228;28.9;88;38;102;2;18;34;35;139;183;13336.2;680
Club Des Bruyères S. Badminton;CBSB;35;Crévin;78;19.0;55;9;14;;;;21;57;0;164.88;0
Club Badminton Scey sur saone;CBS;70;Scey sur Saone;17;27.8;7;4;6;;;3;8;6;38;146.43;0
Club de Badminton de Semoy;CBS;45;Semoy;26;30.3;12;1;13;;;;6;20;0;14.6;0
Club Badminton Roanne;CBR42;42;Roanne;149;28.0;45;58;46;4;14;22;38;71;206;25108.9;380
Club Badminton Rodez;CBR;12;Rodez;162;28.2;37;78;47;1;12;19;33;97;190;7492.56;0
Club de Badminton Pringy;CBP;77;Pringy;140;29.9;47;36;57;;3;14;19;104;42;1410.56;0
Club De Badminton Provinois;CBP;77;Provins;15;29.7;5;4;6;;4;4;3;4;4;1040.73;0
Club De Badminton de Perenchies;CBP;59;Pérenchies;87;25.7;47;10;30;;;5;12;70;20;167.78;105
CLUB BADMINTON PLEURTUIT;CBP;35;Pleurtuit;0;0.0;0;0;0;;;;;;0;0;0
Club de Badminton Oberhausbergen;CBO;67;Oberhausbergen;66;31.8;17;18;31;;5;15;15;31;47;1879.26;250
Club De Badminton D'olivet;CBO;45;Olivet;73;27.9;32;13;28;;;5;15;53;9;287.71;0
Club Badminton Orchies;CBO;59;Orchies;54;24.2;28;13;13;;;2;12;40;33;125.61;284
C. De Badminton Neuvic Mussidan;CBNM;24;Neuvic;74;26.0;36;14;24;1;8;9;23;33;228;6877.24;343
Club de Badminton Noyers/Ancy le Franc;CBNA;89;NOYERS/SEREIN;52;14.9;47;0;5;;1;10;22;19;205;481.65;430
Club Badminton de Nice;CBN;06;Nice;146;25.9;52;57;37;;2;19;35;90;147;1783.65;375
Club de Badminton de Neuilly-sur-Seine;CBN;92;Neuilly-sur-Seine;153;32.4;24;66;63;;;11;36;106;0;389.45;0
Club Badminton Noyon;CBN;60;Noyon;34;33.1;2;20;12;;;1;;33;0;12.35;0
Cb Marles Les Mines;CBMA;62;Marles-les-Mines;0;0.0;0;0;0;;;;;;0;0;0
Club Badminton Maurepas;CBM;78;Maurepas;130;28.1;46;36;48;;15;11;33;71;77;6531.89;0
Club De Badminton De Menton;CBM;06;Menton;46;38.7;4;13;29;;4;3;12;27;53;1484.11;0
Club Badminton Malesherbes;CBM;45;LE MALESHERBOIS;53;30.5;12;24;17;;1;5;18;29;68;584.3;0
C B Montreuil;CBM;62;Montreuil;40;23.4;22;7;11;;;2;7;31;0;127.37;85
Chavelot Badminton Loisir Compétition;CBLC;88;Chavelot;10;33.9;1;4;5;;;6;4;;28;169.19;0
Club  de Badminton Landivisien;CBL29;29;Landivisiau;75;18.9;53;11;11;;2;13;33;27;175;1355.95;300
Club Badminton Liancourt;CBL;60;Liancourt;137;21.8;79;28;30;5;11;24;33;64;271;22667;434
Club De Badminton De Lisses;CBL;91;Lisses;75;23.8;38;14;23;;5;7;16;47;12;1599.28;288
Club Badminton Lucon;CBL;85;Luçon;62;25.5;31;9;22;;4;10;12;36;47;1476.47;215
Crocq Badminton Haute Marche;CBHM;23;Crocq;9;19.8;7;0;2;;;;4;5;0;12.83;0
Club De Badminton Heillecourt;CBH;54;Heillecourt;37;36.2;0;14;23;2;9;13;12;1;98;13031;0
CLUB BADMINTON FLORANGE;CBF;57;Florange;57;28.9;25;5;27;1;7;11;18;20;86;6229.53;250
Club Badminton Figeacois;CBF;46;Figeac;67;26.1;24;27;16;;;5;27;35;62;506.92;240
Chez Bad Et Minton;CBEM;20;Bastia;34;36.8;7;8;19;;;;6;28;0;13.81;0
Club Badminton Epinal;CBE;88;Épinal;146;24.5;66;46;34;1;17;28;21;79;313;12617.4;367
Club Badminton Emmerin;CBE;59;Emmerin;48;26.0;21;8;19;;;;11;37;36;80.4;140
Club Badminton Esvrien;CBE;37;Esvre Sur Indre;0;0.0;0;0;0;;;;;;0;0;0
Club De Badminton D'Etampes;CBE;91;Étampes;0;0.0;0;0;0;;;;;;0;0;300
Cerdagne Badminton Estavar;CBE;66;Estavar;0;0.0;0;0;0;;;;;;0;0;0
Club De Badminton De Croisilles;CBCR;62;Croisilles;14;40.6;1;0;13;;;;;14;0;0;0
Club Badminton Coutances;CBCO;50;Coutances;63;26.7;25;20;18;;;16;3;44;98;697.86;115
Conquerant Badminton Club Caen;CBCC;14;Caen;198;23.7;74;96;28;11;27;25;37;98;266;85803.1;385
Club de Badminton de Carentan;CBCA;50;Carentan;93;28.0;39;19;35;1;8;8;17;59;151;4701.52;290
Choisy Badminton Club 94;CBC94;94;Choisy-le-Roi;160;27.3;52;59;49;6;17;19;43;75;188;23172;230
Club De Badminton Carrierois;CBC78;78;Carrières-sous-Poissy;80;29.0;24;24;32;;;7;27;46;15;419.81;235
Chassieu Badminton Club;CBC69;69;Chassieu;162;24.2;83;33;46;7;23;17;42;73;489;38756;680
Club Badminton Canet 66;CBC66;66;Canet-en-Roussillon;30;31.6;12;3;15;;1;2;9;18;38;495.8;247
Club De Badminton Castelpontin;CBC63;63;Pont-du-Château;221;28.5;78;62;81;;7;31;76;107;284;4541.76;563
Carquefou Badminton Club;CBC;44;Carquefou;204;26.8;82;60;62;7;16;25;37;119;340;30800.8;0
Calais Badminton Club;CBC;62;Calais;102;29.9;23;41;38;;4;12;28;58;43;3817.07;115
Creil Badminton Club;CBC;60;Creil;70;29.1;31;9;30;;4;9;22;35;77;2784.09;260
Chaumont Badminton Club;CBC;52;Chaumont;65;30.4;21;20;24;;4;9;24;28;43;1942.15;180
Chatou Badminton Club;CBC;78;Chatou;203;27.4;93;32;78;;7;10;63;123;19;1879.79;0
Castillon Badminton Club;CBC;33;Castillon-la-Bataille;62;28.9;26;5;31;;;8;18;36;16;187.36;165
Chabris Badminton Club;CBC;36;Chabris;21;25.9;7;9;5;;;3;9;9;8;159.1;0
Chaingy Badminton Club;CBC;45;Chaingy;44;39.3;2;11;31;;;3;13;28;12;155.74;0
Chatel Badminton Club;CBC;17;Châtelaillon-Plage;26;34.9;2;12;12;;;1;18;7;0;100.67;0
CLUB BADMINTON COGOLINOIS;CBC;83;Cogolin;31;37.2;4;9;18;;;1;10;20;0;86.71;0
Chantilly Badminton Club;CBC;60;Chantilly;11;23.0;6;3;2;;;;3;8;0;20.54;0
Club de Badminton Cormellois;CBC;14;Cormelles-le-Royal;55;34.4;21;5;29;;;;15;40;32;13.55;85
Cocheren Badminton Club;CBC;57;Cocheren;24;35.0;3;6;15;;;;;24;0;0;0
Casteljaloux Badminton Club;CBC;47;Casteljaloux;0;0.0;0;0;0;;;;;;0;0;0
Club de Badminton de Bourbon-Lancy;CBBL;71;Bourbon-Lancy;65;27.0;24;22;19;;5;10;24;26;209;2391.57;300
C.bad Brives Charensac-hte Loire;CBBCHL;43;Brives-Charensac;86;24.9;32;37;17;;1;18;24;43;70;793.35;230
Club Badminton Briance Combade;CBBC;87;Roziers-Saint-Georges;0;0.0;0;0;0;;;;;;0;0;225
Club De Bad. Du Villeneuvois;CBAV;47;Villeneuve-sur-Lot;49;32.9;8;15;26;1;6;8;14;20;107;7060.85;185
Club Badminton Anse;CBANS69;69;Anse;114;33.9;25;22;67;;;3;27;84;34;139.41;0
Club De Badminton De Checy;CBAC;45;Chécy;63;37.7;1;22;40;;;;14;49;0;45.8;0
Club Bad. Aulnay Sous Bois;CBAB;93;Aulnay-sous-Bois;209;24.6;82;81;46;21;22;28;40;98;343;170133;470
Club Badminton Ampuis;CBA69;69;Ampuis;52;36.5;11;8;33;;1;8;24;19;8;579.07;0
Champa'Bad;CB69;69;Champagne-au-Mont-d'Or;138;27.7;32;70;36;1;11;17;45;64;163;5546.61;0
Chatel Badminton;CB63;63;Châtelguyon;157;28.7;60;33;64;;4;30;47;76;210;2703.46;565
Champibad;CB;54;Champigneulles;52;32.3;2;32;18;;6;7;22;17;68;3821.24;0
Cognac Badminton;CB;16;Cognac;47;32.0;4;27;16;;8;14;10;15;82;3223.01;197
Champa' Bad;CB;39;Champagnole;91;25.7;44;16;31;;6;16;31;38;185;2654.84;255
Coursac Badminton;CB;24;Coursac;51;27.3;24;7;20;;;12;18;21;34;397.7;235
Courseulles Badminton;CB;14;Courseulles-sur-Mer;20;25.8;5;11;4;;;6;4;10;45;242.64;111
COUD’BAD;CB;59;Coudekerque-Branche;35;22.8;20;5;10;;;5;9;21;23;178.8;245
Courçon Badminton;CB;17;Courçon;85;29.6;26;19;40;;;1;23;61;0;88.3;0
Coubron Badminton;CB;93;Coubron;88;31.4;31;10;47;;;;3;85;0;6.13;0
Casinca Bad;CB;20;VESCOVATO;0;0.0;0;0;0;;;;;;0;0;0
Club Athlétique Voutréen;CAVB;53;Voutré;30;31.7;7;6;17;;2;6;10;12;94;850.68;0
Castelnau Badminton;CASTELBAD;33;Castelnau;79;28.8;37;4;38;;3;13;27;36;35;1589.7;325
Le Volant de l' Esquirot;CASH;33;Sainte-Hélène;65;25.0;34;9;22;4;9;19;17;16;320;12636.2;521
C.a.s. Electricite Gaz De France;CASEGF87;87;Limoges;23;37.9;0;9;14;;6;8;5;4;81;5396.17;0
Club et Association Sportive de Badminton d'Aspach;CASBA;68;Aspach;12;31.0;0;9;3;;;2;10;;15;54.82;0
Cartusienne;CARTU38;38;Saint-Laurent-du-Pont;47;38.4;4;12;31;;4;15;22;6;63;2231.92;0
Copains Acharnes Raq. Loconoise;CARL;62;Locon;51;18.9;37;8;6;;;9;8;34;5;375.07;0
Club Athlétique Badminton Ribérac;CARBAD;24;Ribérac;23;23.3;15;2;6;;;5;6;12;0;83.28;300
Club Athlétique d'Orsay - Badminton;CAOBAD;91;Orsay;140;26.2;59;38;43;;2;12;35;91;44;919.66;235
Cercle Aloysia Obernai Badminton;CAOB;67;Obernai;0;0.0;0;0;0;;;;;;0;0;0
Club Amical Morcenais Badminton;CAMB;40;Morcenx;20;41.4;2;6;12;;3;4;9;4;61;1084.09;0
Club Athlétique de L'hay les roses Badminton;CALB;94;L'Hay-les-Roses;128;26.9;48;44;36;1;20;4;27;76;172;11135;401
Section Badminton de Carbon Blanc du CACBO;CACBO;33;Carbon-Blanc;0;0.0;0;0;0;;;;;;0;0;165
Club Alenconnais Badminton;CAB;61;Alençon;123;27.6;52;25;46;7;17;27;31;41;332;38496.6;531
Club Auscitain De Badminton;CAB;32;Auch;92;29.0;27;33;32;6;5;12;20;49;108;20810.8;215
Club Aulnésien de Badminton;CAB;59;Aulnoye-Aymeries;85;22.0;46;18;21;;;9;22;54;80;696.45;0
Club De Badminton De Bartenheim;C2B;68;Bartenheim;68;31.4;25;10;33;;;8;18;42;5;327.12;0
Le Badminton Yssingelais;BY43;43;Yssingeaux;65;30.8;15;24;26;;;12;27;26;25;746.06;175
Bad. Wambrechies Marquette;BWM;59;Wambrechies;191;23.5;97;41;53;7;19;24;41;100;487;51587.6;579
Badminton Vesoul;BVVN;70;Vesoul;110;26.6;33;46;31;3;12;22;13;60;300;17255.2;235
Badminton Valdahon Vercel;BVV;25;Valdahon;108;26.2;32;43;33;2;7;27;28;44;146;10170.6;415
Badminton Venissieux Sud-est;BVSE69;69;Vénissieux;129;29.9;26;60;43;3;24;28;31;43;417;24407.9;205
Badminton Vallée de la Sauer;BVS;67;Woerth;28;27.8;11;4;13;;;4;12;12;0;209.33;0
Badminton Val De Reuil Louviers;BVRL;27;Val-de-Reuil;67;26.5;25;24;18;10;8;6;15;28;145;78836.2;330
Badminton Val De Morteau;BVM;25;Morteau;144;23.1;72;27;45;14;20;23;18;69;357;72608.5;696
Badminton de Velaine en Haye;BVEH;54;Malzéville;14;33.0;0;9;5;3;8;2;1;;203;14672.4;0
Badmin Val de Cher;BVC;41;Saint Aignan sur Cher;21;34.8;1;12;8;;;;13;8;0;69.38;0
Badminton Villeneuve D'ascq;BVA;59;Villeneuve-d'Ascq;76;23.3;26;41;9;;4;20;15;37;88;3260.33;260
Les Broonnais Volants;BV;22;Broons;0;0.0;0;0;0;;;;;;0;0;0
Bouchemaine Volant;BV;49;Bouchemaine;0;0.0;0;0;0;;;;;;0;0;0
Questembert Badminton Club;BUSQ;56;Questembert;60;22.0;36;12;12;;1;15;18;26;43;1122.1;185
Badminton U.s. Forges Les Eaux;BUSF;76;Forges-les-Eaux;45;26.0;18;13;14;;9;13;12;11;28;4219.44;260
Bad-Tennis Magnilais;BTM;85;Les Magnils-Reigniers;11;31.4;1;6;4;;;2;2;7;9;155.31;0
Les Badistes de Tremblay les Villages;BTLV;28;Tremblay-les-Villages;0;0.0;0;0;0;;;;;;0;0;0
Badminton Trèbes Carcassonne;BTC;11;Trèbes;76;19.0;54;12;10;2;7;16;22;29;53;10000.9;441
Bad' in Town Bezak;BTB;25;Besançon;105;34.3;4;58;43;;;4;16;85;29;120.06;0
Bad Tournon 36;BT36;36;Tournon-Saint-Martin;0;0.0;0;0;0;;;;;;0;0;0
Badminton Thiaucourtois;BT;54;Thiaucourt-Regniéville;35;24.7;20;3;12;;5;5;11;14;60;2400.73;320
Badmin'Tonic Club;BT;85;Saint-Gilles-Croix-de-Vie;53;29.1;13;21;19;;6;10;10;27;59;2052.11;0
Badminton Theillois;BT;61;Le Theil;42;22.2;25;6;11;;2;6;14;20;68;763.53;0
Badmin'tonus;BT;67;Geispolsheim;25;33.2;5;10;10;;;12;9;4;15;451.98;195
BADMIN'TRAINOU;BT;45;Traînou;77;28.7;26;21;30;;;;38;39;0;160.42;0
Badminton Sport Wervicquois;BSW;59;Wervicq-Sud;58;25.2;30;7;21;;;4;22;32;76;320.85;0
Badminton St Witz;BSW;95;Saint-Witz;14;37.1;1;4;9;;;;8;6;0;19.23;0
Bsr Lambersart;BSRL;59;Lambersart;130;36.2;8;54;68;;;3;13;114;0;154.54;0
Bad. Sport et Loisir Chiroquois;BSLC;91;Chilly-Mazarin;154;29.1;49;48;57;;15;39;17;83;107;8944.62;386
Badminton St Laurent;BSL;33;Saint-Laurent-Médoc;65;27.9;27;10;28;;3;8;22;32;0;1735.32;250
Badminton Saint Gaudens;BSG31;31;Saint-Gaudens;77;26.8;32;19;26;;7;4;15;51;137;2199.1;0
Badminton De Saint Girons;BSG;09;Saint-Girons;0;0.0;0;0;0;;;;;;0;0;200
Badminton Saint Esteve;BSE66;66;Saint-Estève;122;21.5;79;16;27;1;14;18;33;56;261;10836.9;403
Badminton Sud Essonne;BSE;91;Étréchy-Etampes;296;24.5;143;67;86;;13;24;75;184;56;7823.43;454
Badminton Saint-cere;BSC46;46;Saint-Céré;105;22.7;62;20;23;;5;12;27;61;143;1494.23;375
Bad Santeny Club;BSC;94;Santeny;0;0.0;0;0;0;;;;;;0;0;0
Bathie Smatch Badminton;BSBB73;73;La Bâthie;12;40.4;0;5;7;;;;4;8;5;10.93;0
Badminton Saint Brevin;BSB;44;Saint-Brevin-les-Pins;107;32.3;27;26;54;;;14;35;58;85;743.94;0
BADminton Soulaines sur Aubance;BSA;49;Soulaines-sur-Aubance;22;40.7;2;6;14;;;3;10;9;27;142.81;0
Badminton Saintais;BS17;17;Saintes;131;29.3;43;34;54;2;8;20;38;63;63;7945.5;280
Badminton Saverne;BS;67;Saverne;74;23.7;39;16;19;;9;23;18;24;46;6604.57;300
Badminton Salonais;BS;13;Salon-de-Provence;147;27.7;62;26;59;;2;8;40;97;24;810.65;300
Badminton Salinois;BS;39;Salins-les-Bains;43;26.9;21;5;17;;;7;14;22;61;198.88;240
Badminton Suceen;BS;44;Sucé-sur-Erdre;117;31.3;43;14;60;;;2;35;80;0;179;0
Badminton Sorigny;BS;37;Sorigny;18;26.1;9;2;7;;;;6;12;8;23.11;0
Bad and Squash;BS;92;La Garenne-Colombes;0;0.0;0;0;0;;;;;;0;0;0
Ligue BRETAGNE;BRET;35;Rennes;11416;25.7;5004;2824;3588;151;675;1453;3436;5701;12741;1161550;0
Badminton Rochefort Club;BRC;17;Rochefort;92;29.1;31;27;34;;9;23;21;39;199;5900.56;271
Badminton Rullicois;BR86;86;Rouillé;48;25.5;23;8;17;;;4;17;27;38;256.41;278
Badminton Rochelais;BR;17;La Rochelle;175;28.0;41;83;51;13;23;19;41;79;296;58557.1;305
Badminton Quiberon;BQ;56;Quiberon;0;0.0;0;0;0;;;;;;0;0;0
Badminton du Pays Voironnais;BPV38;38;Voiron;202;26.2;92;39;71;;9;20;71;102;245;5050.02;638
Badminton Pays De Ploermel;BPP;56;Ploërmel;125;21.6;75;24;26;;10;14;47;54;222;6119.78;447
Badminton Pays de Plélan;BPP;22;Plélan-le-Petit;86;21.9;53;13;20;;;1;23;62;30;131.11;190
Bad. Performances et Loisirs Etoupières Dauphine;BPLED;76;Le Havre;56;34.4;0;29;27;;;15;12;29;42;477.42;0
Badminton Petite-Île;BPI;974;Petite-Île;5;33.4;2;0;3;;;;3;2;0;0.09;0
Badminton Plessis Grammoire;BPG;49;Le Plessis-Grammoire;42;39.3;2;14;26;;5;11;6;20;24;1710.14;0
Badminton du Pays Fort;BPF;18;Vailly-sur-Sauldre;35;35.7;16;2;17;;;3;10;22;18;79.35;185
Badmin'Ploz Club;BPC;29;Plozévet;4;39.5;0;1;3;;;;4;;0;21;0
Bad du Pays Beaumontois;BPB;24;BEAUMONTOIS EN PERIGORD;12;33.8;2;5;5;;;4;;8;0;0;0
Badminton Plerinais;BP;22;Plerin Sur Mer;149;25.5;69;39;41;;15;26;45;63;210;7205.82;511
Badminclub Pirisien;BP;27;Perriers-sur-Andelle;32;19.8;22;3;7;;;7;15;10;2;277.18;205
Badminton Olympique Uni. Mars;BOUM;13;Marseille;75;35.1;1;42;32;;3;10;16;46;0;1132.42;0
Bosco Bad - Association Sportive de Badminton;BOSCOBAD;49;Saint-Martin-du-Bois;8;38.9;0;3;5;;;;;8;0;0;0
BADMINTON OF SOMMIERES;BOS;30;Sommières;0;0.0;0;0;0;;;;;;0;0;0
Badminton Olympique De Pernes;BOP;84;Pernes-les-Fontaines;196;28.1;66;55;75;5;24;32;57;78;434;31630.5;565
Ligue BOURGOGNE-FRANCHE-COMTE;BOFC;21;Chenôve;5638;27.3;2048;1711;1879;107;478;790;1583;2680;9117;660175;0
Badminton Omnisports Eulalien;BOE;33;Sainte-Eulalie;116;27.4;49;27;40;;;18;26;72;25;929.28;226
Badminton Olympique C Concarnois;BOCC;29;Concarneau;107;22.1;57;33;17;1;11;14;36;45;162;10248.7;373
Bad On Challes;BOC73;73;Challes-les-Eaux;109;21.0;75;14;20;2;1;7;36;63;88;3770.33;0
BAD OEYRE CLUB;BOC;04;Oeyreluy;4;54.8;0;0;4;;;;;4;0;0;0
Beauvais Oise Badminton;BOB;60;Beauvais;220;26.4;89;56;75;1;15;15;41;148;216;8911.53;415
Bretteville L'orgueilleuse Bad.;BOB;14;Bretteville-l'Orgueilleuse;83;28.1;27;26;30;;;12;23;48;17;802.55;271
Badminton Orgeres En Beauce;BOB;28;Orgères-en-Beauce;65;21.1;38;15;12;;1;1;22;41;0;226.12;145
Badminton Nancy Villers;BNV;54;Nancy - Villers les Nancy;143;22.0;71;47;25;7;14;30;28;64;382;36483.6;570
Badminton Nord Pays d'Auge;BNPA;14;DOZULE / BAVENT;105;26.7;47;15;43;;4;6;34;61;138;1827.12;442
BADMINTON NUEIL AUBIERS;BNA;79;Nueil-les-Aubiers;51;25.6;23;12;16;;2;8;15;26;53;886.19;0
Bad'Nantes;BN44;44;Nantes;178;25.2;43;112;23;;31;25;36;86;232;15459.1;230
Bad Nesle;BN;80;Nesle;26;26.7;7;12;7;;;2;19;5;83;248.3;0
Bad'Novicien;BN;37;Neuvy-le-Roi;0;0.0;0;0;0;;;;;;0;0;0
Badminton Margny-Venette;BMV;60;Margny-lès-Compiègne et Venette;151;27.3;51;54;46;;13;25;30;83;314;7226.59;503
Badminton Marly-Metz-Cuvry;BMMC;57;Marly-Metz-Cuvry;156;25.6;69;40;47;5;24;32;31;64;392;38316.7;609
Badminton Maisons-laffitte;BML;78;Maisons-Laffitte;154;28.6;45;64;45;8;18;19;37;72;277;59584.8;350
Badminton Marcellinois;BM42;42;Saint-Marcellin-en-Forez;97;22.7;58;15;24;;4;10;40;43;205;1609.4;390
BADMINTON MAGESCQUOIS;BM40;40;Magescq;45;25.9;24;6;15;;;7;16;22;17;202.43;354
Badminton Montgermontais;BM35;35;Montgermont;0;0.0;0;0;0;;;;;;0;0;0
Badminton Maconnais;BM;71;Mâcon;130;24.9;55;41;34;;25;20;37;48;348;17620.3;350
Badminton Muret;BM;31;Muret;140;31.6;37;44;59;1;10;14;27;88;83;7239.31;230
Badminton Martellois;BM;87;Saint-Just-le-Martel;63;21.2;41;8;14;;;9;26;28;27;336.99;280
Badminton du Lac de Villeneuve de la Raho;BLVR;66;Villeneuve-de-la-Raho;17;39.0;0;6;11;;;1;4;12;0;31.89;0
Badminton et Loisirs Villettois;BLV38;38;Villette-d'Anthon;75;41.3;0;15;60;;6;11;26;32;79;2290.05;0
Badminton Longueville sur Scie;BLS;76;Longueville-sur-Scie;60;24.2;31;9;20;;2;22;19;17;160;1406.96;352
Badminton Locoal Mendon;BLM;56;Locoal-Mendon;37;29.3;11;11;15;;;11;12;14;36;431.18;0
Badminton Le Garric;BLG;81;Le Garric;17;34.8;3;2;12;;;8;7;2;47;319.67;0
Badminton Lure Citers;BLC;70;Lure;97;24.4;49;16;32;;2;4;27;64;99;701.52;0
Badminton La Châtre;BLC;36;La Châtre;41;27.7;14;17;10;;;10;15;16;51;582.43;0
Badminton Loisir de l'Ass. Sportive de Thales;BLAST;49;Cholet;0;0.0;0;0;0;;;;;;0;0;0
Badaubance;BLA;49;Vauchrétien;109;25.9;50;23;36;;5;21;36;47;53;4780.88;0
Bad Ligneronnais;BL;85;Saint-Christophe-du-Ligneron;38;33.7;3;15;20;;1;13;11;13;82;790.74;0
Badminton Langeadois;BL;43;Langeac;42;31.5;11;12;19;;;3;19;20;27;144.45;195
Badminton Lapalissois;BL;03;Lapalisse;45;29.2;20;4;21;;;3;15;27;0;101.75;180
Badminton Javené - Billé;BJB;35;Javené;53;31.1;13;17;23;;;14;25;14;55;772.15;256
Bad Jeunes 83;BJ83;83;Ollioules;38;22.9;24;1;13;;;6;9;23;91;237.15;255
Badminton Jocondien;BJ;37;Joué-lès-Tours;128;26.8;47;44;37;;1;2;39;86;16;1102.71;378
Badminton Jusséen;BJ;70;Jussey;9;22.1;6;1;2;;;1;3;5;9;40.53;0
Bad'In Matheysine;BIM38;38;La Mure;72;36.9;17;13;42;;;1;25;46;8;163.45;0
Bad In Marseille;BIM;13;Marseille;97;32.5;16;38;43;;7;6;28;56;76;4624.23;0
Bad'inMontfort;BIM;72;Montfort-le-Gesnois;63;27.0;23;17;23;;;12;14;37;38;526.39;0
Bad Is Good;BIG;77;Vert-Saint-Denis;120;32.9;30;28;62;;3;11;35;71;0;1174.86;0
Bad In Giessen;BIG;67;Eschau;53;26.2;26;8;19;;;;8;45;19;3.71;0
Bad'In Franois;BIF;25;Franois;40;36.5;1;19;20;;;2;7;31;21;176.22;0
Badminton Ic;BIC;22;Pordic;76;22.0;46;8;22;;1;10;30;35;16;863.96;240
Badminton Illet Club;BIC;35;Sens-de-Bretagne;126;17.6;97;10;19;;;5;36;85;0;302.11;185
Bad In Bouc;BIB;13;Port-de-Bouc;0;0.0;0;0;0;;;;;;0;0;185
Badminton House Herbretais;BHH;85;Les Herbiers;57;24.0;29;16;12;;11;18;4;24;109;4230.11;270
Basse-ham Badminton Club;BHBC;57;BASSE HAM;152;21.8;91;27;34;;13;19;29;91;182;10293.7;367
Bad'Hyères;BH83;83;Hyères;89;28.9;29;31;29;2;8;4;16;59;52;7290.17;0
Badminton Gard Rhodanien;BGR;30;Bagnols-sur-Cèze;191;27.3;82;47;62;;13;23;43;112;139;5654.45;400
Badminton de Gevrey-Chambertin;BGC;21;Gevrey-Chambertin;30;24.3;14;6;10;;;5;14;11;0;389.07;155
BAD Ganges;BG;34;Ganges;18;33.4;1;10;7;3;6;4;3;2;42;12401.4;0
BADMINTON GONDREVILLE;BG;54;Gondreville;79;25.0;37;19;23;2;11;7;19;40;299;10874.2;135
Badminton Guidelois;BG;56;Guidel;51;39.2;1;19;31;;1;5;19;26;0;564.03;0
Bad Graçayais;BG;18;Graçay;43;32.4;12;9;22;;;1;11;31;29;43.58;0
Bad'Gy;BG;45;Gidy;22;30.8;1;16;5;;;1;8;13;0;24.33;0
le Bad En Folie Pornic Badminton Club;BFPBC;44;Pornic;51;28.8;17;18;16;;2;1;14;34;18;497.28;0
Bad'in Fenouillet;BF;31;Fenouillet;73;24.5;31;26;16;;;3;27;43;74;285.84;0
Bad Fulk;BF;35;Grand-Fougeray;0;0.0;0;0;0;;;;;;0;0;0
Badminton Entente La Seyne - Toulon;BEST;83;Toulon;79;32.0;19;23;37;;8;11;29;31;58;3206.92;165
Les Badistes d'Espace en Pévèle;BEP59;59;Coutiches;44;23.6;24;9;11;;;5;18;21;51;290.11;336
Badminton Etoile Portesienne;BEP;31;Portet-sur-Garonne;57;35.8;3;25;29;;;6;17;34;0;278.94;0
Badminton Est-Lyonnais;BEL;69;Vaulx-en-Velin;15;34.7;0;7;8;;4;2;6;3;41;1669.53;0
Badminton des Electriciens et Gaziers 63;BEG63;63;Gerzat;16;36.6;0;7;9;;;;15;1;0;85.89;0
Badminton en Folie;BEF;85;Pouzauges;0;0.0;0;0;0;;;;;;0;0;0
Badminton Ennezat Chappes;BEC63;63;Ennezat;72;27.6;28;19;25;;;5;19;48;3;278.27;0
Badminton Epinac Club;BEC;71;Épinac;31;30.3;10;6;15;;3;11;12;5;117;890.43;230
Bad en Combrailles;BEC;63;Manzat;54;21.0;33;3;18;;;3;24;27;40;196.67;354
Badminton Evasion Bron;BEB69;69;Bron;183;29.6;45;80;58;11;24;31;50;67;351;67463.3;270
Binic - Etables Badminton;BEB;22;Binic - Etables sur Mer;0;0.0;0;0;0;;;;;;0;0;0
Badminton Ecubéen;BE;61;Écouché;53;27.0;24;9;20;;;11;25;17;109;532.96;215
BAD du RIED;BDR;67;Kogenheim-Benfeld;108;21.4;62;20;26;;3;18;25;62;136;1384.96;557
Badminton du Rabastinois;BDR;81;Rabastens;64;27.2;30;7;27;;;23;22;19;69;929.75;414
Badminton De La Plaine;BDLP;88;Contrexéville;46;29.9;17;9;20;;3;11;10;22;67;1510.74;220
Les Bouchons d'Loudia Badminton Club;BDLBC;22;Loudéac;63;29.9;17;21;25;;1;12;18;32;29;830.66;225
Badminton Détente Levroux;BDL36;36;Levroux;26;31.6;8;4;14;;;;17;9;8;39.72;0
Badmin'dombes Chatillon;BDCC01;01;Châtillon-sur-Chalaronne;103;25.5;52;14;37;;2;14;22;65;118;1340.96;428
Badminton Des Couleurs;BDC;38;Morestel;137;24.9;70;26;41;;;14;54;69;84;632.64;353
Bad'Bernin;BDB38;38;Bernin;90;35.3;22;21;47;;1;;4;85;0;743.11;0
