id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
1024,37ème Tournoi d'Ermont,862,21.04.2018,tournoi-badminton/17-18-37eme-tournoi-d-ermont-8905.html,48.9831,2.24475,13,19,
1025, Tournoi de Tagnon,204,21.04.2018,tournoi-badminton/17-18-tournoi-de-tagnon-8857.html,49438,4.29137,12,18,
1026, Mi Ange Mi Démon XV,900,21.04.2018,tournoi-badminton/17-18-mi-ange-mi-demon-xv-8686.html,48.9159,2.61486,13,19,
1027,3ème Tournoi le GoodBad de St Cyr sur Loire,365,21.04.2018,tournoi-badminton/17-18-3eme-tournoi-le-goodbad-de-st-cyr-sur-loire-8709.html,47.4155,0.657397,12,18,
1028,1er Tournoi SOLIPLUM',621,21.04.2018,tournoi-badminton/17-18-1er-tournoi-soliplum-8628.html,48.4782,1.52401,13,19,
1029,[COMPLET] 2e TOURNOI DE LA REDONNE,1577,21.04.2018,tournoi-badminton/17-18-complet-2e-tournoi-de-la-redonne-8362.html,43.3556,5.19617,16,19,
1030,3ème Tournoi National des Portes Normandes,255,21.04.2018,tournoi-badminton/17-18-3eme-tournoi-national-des-portes-normandes-8475.html,49.1042,1.44658,12,18,
1031,TROPHEE DES DOMES 2018,54,21.04.2018,tournoi-badminton/17-18-trophee-des-domes-2018-8808.html,45.7713,3.1198,13,18,23
1032, ANNULÉ  LE BADOJAUNAY,1385,21.04.2018,tournoi-badminton/17-18-annul-le-badojaunay-7950.html,46.6406,-1.71334,12,16,
1033, GRESIFOLIE'S BAD,726,21.04.2018,tournoi-badminton/17-18-gresifolie-s-bad-8833.html,45.2387,5.88801,16,19,
1034,10ème Tournoi Esprit-Bad Cosne sur loire,190,21.04.2018,tournoi-badminton/17-18-10eme-tournoi-esprit-bad-cosne-sur-loire-8702.html,47.4251,2.9377,12,18,
1035, Clisson BCC -TDJ - Mb/P/B/M/C,1625,21.04.2018,tournoi-badminton/17-18-clisson-bcc-tdj-mb-p-b-m-c-8910.html,47.0924,-1.26959,5,,
1036,4ème de L'Abraysienne en Double,270,21.04.2018,tournoi-badminton/17-18-4eme-de-l-abraysienne-en-double-8624.html,47.9117,1.96524,13,18,
1037, Tournoi Inter-régional de Beaucouzé,317,21.04.2018,tournoi-badminton/17-18-tournoi-inter-regional-de-beaucouze-8730.html,47.4743,-0.623892,11,15,
1038,6ème tournoi de Badminton de St Julien Les V,439,21.04.2018,tournoi-badminton/17-18-6eme-tournoi-de-badminton-de-st-julien-les-v-8788.html,48.2728,4.09731,13,18,
1039,36ème Tournoi International du Léman,220,21.04.2018,tournoi-badminton/17-18-36eme-tournoi-international-du-leman-8924.html,46.3632,6.46639,16,19,20
1040, Tournoi de La Quasimodo,39,21.04.2018,tournoi-badminton/17-18-tournoi-de-la-quasimodo-8980.html,46.3512,2.21751,10,15,
1041, Tournoi de Romorantin-Lanthenay,269,21.04.2018,tournoi-badminton/17-18-tournoi-de-romorantin-lanthenay-8671.html,47.3747,1.73692,12,16,
1042,22ème tournoi des Châteaux,1215,21.04.2018,tournoi-badminton/17-18-22eme-tournoi-des-chateaux-8355.html,45.1433,-0.825469,13,18,
1043,5EME EDITION NATIONALE DES RENCONTRES DU BAC,1796,21.04.2018,tournoi-badminton/17-18-5eme-edition-nationale-des-rencontres-du-bac-8366.html,45.7741,4.80348,16,20,
1044,8ème tournoi national de Cognac,1161,21.04.2018,tournoi-badminton/17-18-8eme-tournoi-national-de-cognac-8631.html,45.6739,-0.314267,12,18,
1045,34ème Tournoi International de Pau,1911,21.04.2018,tournoi-badminton/17-18-34eme-tournoi-international-de-pau-7734.html,43.3338,-0.367536,14,18,
1046,Game of Bad épisode 4,2181,21.04.2018,tournoi-badminton/17-18-game-of-bad-episode-4-8761.html,47.8363,0.743682,11,16,19
1047,Sim'Bad Tours 2,978,21.04.2018,tournoi-badminton/17-18-sim-bad-tours-2-8699.html,47.3772,0.732692,13,20,
1048,8ème Tournoi de Valdahon Vercel,1189,21.04.2018,tournoi-badminton/17-18-8eme-tournoi-de-valdahon-vercel-7740.html,47.1493,6.3427,12,18,
1049,4ème édition du Tournoi de l'Isle-Jourdain,1520,21.04.2018,tournoi-badminton/17-18-4eme-edition-du-tournoi-de-l-isle-jourdain-7967.html,43.6109,1.08824,12,14,16
1050, Tournoi Régional NEXTDECISION de CARQUEFOU,2074,21.04.2018,tournoi-badminton/17-18-tournoi-regional-nextdecision-de-carquefou-9057.html,47.3039,-1.5019,10,18,
1051,6ème Bad Tour D'elven,776,21.04.2018,tournoi-badminton/17-18-6eme-bad-tour-d-elven-8181.html,47.7351,-2.58466,10,16,
1052,TDJ n°4 - Angers,1805,21.04.2018,tournoi-badminton/17-18-17-18-tdj-n-4-angers-9104.html,47.4907,-0.552118,5,,
